,index,SPX,TradeDate,SPY
372,372,1268.45,2011-06-24,126.81
373,373,1280.1,2011-06-27,127.94
374,374,1296.67,2011-06-28,129.61
375,375,1307.41,2011-06-29,130.72
376,376,1320.64,2011-06-30,131.97
377,377,1339.67,2011-07-01,133.92
378,378,1337.88,2011-07-05,133.81
379,379,1339.22,2011-07-06,133.97
380,380,1353.22,2011-07-07,135.36
381,381,1343.8,2011-07-08,134.4
382,382,1319.49,2011-07-11,131.97
383,383,1313.64,2011-07-12,131.4
384,384,1317.72,2011-07-13,131.84
385,385,1308.87,2011-07-14,130.93
386,386,1316.14,2011-07-15,131.69
387,387,1305.44,2011-07-18,130.61
388,388,1326.73,2011-07-19,132.73
389,389,1325.84,2011-07-20,132.65
390,390,1343.8,2011-07-21,134.49
391,391,1345.02,2011-07-22,134.58
392,392,1337.43,2011-07-25,133.83
393,393,1331.94,2011-07-26,133.33
394,394,1304.89,2011-07-27,130.6
395,395,1300.67,2011-07-28,130.22
396,396,1292.28,2011-07-29,129.33
397,397,1286.94,2011-08-01,128.78
398,398,1254.05,2011-08-02,125.49
399,399,1260.34,2011-08-03,126.17
400,400,1200.07,2011-08-04,120.26
401,401,1199.38,2011-08-05,120.08
402,402,1119.46,2011-08-08,112.26
403,403,1172.53,2011-08-09,117.48
404,404,1120.76,2011-08-10,112.29
405,405,1172.64,2011-08-11,117.33
406,406,1178.81,2011-08-12,118.12
407,407,1204.49,2011-08-15,120.62
408,408,1192.76,2011-08-16,119.59
409,409,1193.89,2011-08-17,119.67
410,410,1140.65,2011-08-18,114.51
411,411,1123.53,2011-08-19,112.64
412,412,1123.82,2011-08-22,112.73
413,413,1162.35,2011-08-23,116.44
414,414,1177.6,2011-08-24,118.08
415,415,1159.27,2011-08-25,116.28
416,416,1176.8,2011-08-26,117.97
417,417,1210.08,2011-08-29,121.36
418,418,1212.92,2011-08-30,121.68
419,419,1218.89,2011-08-31,122.22
420,420,1204.42,2011-09-01,120.94
421,421,1173.97,2011-09-02,117.85
422,422,1165.24,2011-09-06,116.99
423,423,1198.62,2011-09-07,120.29
424,424,1185.9,2011-09-08,119.04
425,425,1154.23,2011-09-09,115.92
426,426,1162.27,2011-09-12,116.67
427,427,1172.87,2011-09-13,117.74
428,428,1188.68,2011-09-14,119.37
429,429,1209.11,2011-09-15,121.43
430,430,1216.01,2011-09-16,121.521
431,431,1204.09,2011-09-19,120.31
432,432,1202.09,2011-09-20,120.17
433,433,1166.76,2011-09-21,116.63
434,434,1129.56,2011-09-22,112.86
435,435,1136.43,2011-09-23,113.54
436,436,1162.95,2011-09-26,116.24
437,437,1175.38,2011-09-27,117.54
438,438,1151.06,2011-09-28,115.145
439,439,1160.4,2011-09-29,116.05
440,440,1131.42,2011-09-30,113.15
441,441,1099.23,2011-10-03,109.93
442,442,1123.95,2011-10-04,112.34
443,443,1144.03,2011-10-05,114.42
444,444,1164.97,2011-10-06,116.49
445,445,1155.46,2011-10-07,115.71
446,446,1194.89,2011-10-10,119.58
447,447,1195.54,2011-10-11,119.7
448,448,1207.25,2011-10-12,120.75
449,449,1203.66,2011-10-13,120.51
450,450,1224.58,2011-10-14,122.57
451,451,1200.86,2011-10-17,120.23
452,452,1225.38,2011-10-18,122.58
453,453,1209.88,2011-10-19,121.13
454,454,1215.39,2011-10-20,121.66
455,455,1238.25,2011-10-21,123.97
456,456,1254.19,2011-10-24,125.49
457,457,1229.05,2011-10-25,123.04899999999999
458,458,1242.0,2011-10-26,124.3
459,459,1284.59,2011-10-27,128.63
460,460,1285.09,2011-10-28,128.6
461,461,1253.3,2011-10-31,125.5
462,462,1218.28,2011-11-01,122.00200000000001
463,463,1237.9,2011-11-02,123.99
464,464,1261.15,2011-11-03,126.25
465,465,1253.23,2011-11-04,125.48100000000001
466,466,1261.12,2011-11-07,126.26
467,467,1275.92,2011-11-08,127.88
468,468,1229.1,2011-11-09,123.161
469,469,1239.69,2011-11-10,124.32
470,470,1263.85,2011-11-11,126.66
471,471,1251.78,2011-11-14,125.46
472,472,1257.81,2011-11-15,126.083
473,473,1236.91,2011-11-16,124.08
474,474,1216.13,2011-11-17,122.105
475,475,1215.65,2011-11-18,121.979
476,476,1192.98,2011-11-21,119.661
477,477,1188.04,2011-11-22,119.19
478,478,1161.79,2011-11-23,116.56
479,479,1158.67,2011-11-25,116.34
480,480,1192.55,2011-11-28,119.71
481,481,1195.19,2011-11-29,120.05
482,482,1246.96,2011-11-30,124.99
483,483,1244.58,2011-12-01,124.97
484,484,1244.28,2011-12-02,124.86
485,485,1257.08,2011-12-05,126.22
486,486,1258.47,2011-12-06,126.26
487,487,1261.01,2011-12-07,126.73
488,488,1234.35,2011-12-08,123.95
489,489,1255.19,2011-12-09,126.05
490,490,1236.47,2011-12-12,124.21
491,491,1225.73,2011-12-13,123.05
492,492,1211.82,2011-12-14,121.74
493,493,1215.75,2011-12-15,122.185
494,494,1219.66,2011-12-16,121.59
495,495,1205.35,2011-12-19,120.29
496,496,1241.3,2011-12-20,123.93
497,497,1243.72,2011-12-21,124.17
498,498,1254.0,2011-12-22,125.27
499,499,1265.33,2011-12-23,126.39
500,500,1265.43,2011-12-27,126.49
501,501,1249.64,2011-12-28,124.83
502,502,1263.02,2011-12-29,126.12
503,503,1257.6,2011-12-30,125.5
504,504,1277.06,2012-01-03,127.495
505,505,1277.3,2012-01-04,127.7
